,accreditationFlag,accreditationPeriod,availabilityFlag,catersForDiverseNeedsFlag,certification,contactDetails_address_addressLine1,contactDetails_address_country,contactDetails_address_geoLocationDetails_latitude,contactDetails_address_geoLocationDetails_longitude,contactDetails_address_postcode,contactDetails_address_state,contactDetails_address_suburb,contactDetails_contactName,contactDetails_emailAddress,contactDetails_enquiryHours,contactDetails_faxNumber,contactDetails_phoneNumber,contactDetails_websiteURL,cultureSpiritualFoodRequirement,description,endDate,facilityAddress_addressLine1,facilityAddress_addressLine2,facilityAddress_country,facilityAddress_postcode,facilityAddress_state,facilityAddress_suburb,facilityName,fundedFlag,iD,languages_language,locallyKnownAsName,mPIR,mPIRPeriod,nNCFlag,outletID,outletName,previouslyKnownAsName,qIEnrolmentFlag,rADApprovalDate,rADThresholdDate,rADThresholdEffDate,rADThresholdValue,sanctionFlag,serviceType,startDate,waitlistFlag,websiteURL
0,true,3 Years,true,true,true,501 PINE RIDGE Road ,Australia,-27.9222037,153.384513,4216,QLD,BIGGERA WATERS,Rachel Burke,info@501care.com.au,,+610755005026,+610755374278,,,,,,501 PINE RIDGE Road,,4216,QLD,BIGGERA WATERS,501 Respite & Care Services,true,1-EP-49,,,6.28,2015-07-01,false,1-E6-2072,501 Respite & Care Services,,false,,2015-06-27,2015-01-01,550000,false,Residential Permanent,2003-04-23,true,http://501care.com.au
1,true,3 Years,true,false,true,70 LOWE Street ,Australia,-37.2779691,142.9329944,3377,VIC,ARARAT,Fiona Miller,fiona.miller@eghs.net.au,,,+610353529316,http://www.eghs.net.au,,,,,70 LOWE Street,,3377,VIC,ARARAT,70 Lowe Street,true,1-EP-393,,,6.28,2015-07-01,false,1-E6-962,70 Lowe Street,John Pickford House,false,,2015-06-27,2015-01-01,550000,false,Residential Permanent,1994-07-01,true,
2,true,3 Years,true,true,true,31 CLISSOLD Street ,Australia,-33.894955,151.125841,2131,NSW,ASHFIELD,Leigh Kildey,lkildey@bethel.org.au,,+610297998480,+610297973600,,,,,,27 Clissold Street,,2131,NSW,ASHFIELD,A H Orr Lodge,true,1-EP-1025,,Not Supplied,6.28,2015-07-01,false,1-E6-10,A H Orr Lodge,,false,,2015-06-27,2015-01-01,550000,false,Residential Permanent,1989-01-11,true,http://www.bethel.org.au
3,true,3 Years,true,false,false,77 SEAVIEW Road ,Australia,-32.4996651,137.7811176,5700,SA,PORT AUGUSTA,Bernice Racanati,ramsay@portaugusta.sa.gov.au,,,+610886426742,http://www.portaugusta.sa.gov.au/page.aspx?u=959,,"AM Ramsay Village is a 62 bed accredited and certified facility catering for people with low to medium care needs. Two respite bed places are available. The home has 6 wings, including one secure wing with a secure outdoor area. All bedroom are single rooms with ensuite bathrooms. A dining room and lounge area is situated in each wing. All residents are encouraged to participate in activities in the facility's large main hall (144m2). This area includes a large screen television with DVD player, a pool table, exercise equipment, a corner library, reading machine for those with visual impairment, computers with internet access and Skype facilities. A vending machine & water cooler is also located in this main hall area as well as a piano for sing-along's. A lovely outdoor entertainment area, complete with an outdoor kitchen is located through the doors from the main hall for residents to enjoy quality time and celebrate special milestones with their families.",,,77 SEAVIEW Road,,5700,SA,PORT AUGUSTA,A M Ramsay Village,true,1-1W8T68,,Not Supplied,6.28,2015-07-01,false,1-E6-1545,A M Ramsay Village,A M Ramsay Retirement Village,false,,2015-06-27,2015-01-01,550000,false,Residential Permanent,1989-01-11,true,http://www.portaugusta.sa.gov.au
4,true,3 Years,true,true,true,376 WARRIGAL Road ,Australia,-37.95856,145.0761367,3192,VIC,CHELTENHAM,Rhonda Wynne,rhonda.wynne@monashhealth.org,,,+610392651784,,,Eastwood Hostel is set in the Kingston Centre Complex and provides care needs suitable to the environment.,2015-12-02,,376 WARRIGAL Road,,3192,VIC,CHELTENHAM,A. G. Eastwood Hostel,true,1-B5-29,,Not Supplied,6.28,2015-07-01,false,1-AU-58,A. G. Eastwood Hostel,,false,,2015-06-27,2015-01-01,550000,false,Residential Permanent,1989-01-11,false,www.monashhealth.org
5,true,3 Years,true,true,true,376-380 BLUFF Road ,Australia,-37.9480938,145.0220683,3191,VIC,SANDRINGHAM,,,,,,,,,,,376-380 BLUFF Road,,3191,VIC,SANDRINGHAM,Abberfield Aged Care Facility,true,1-B5-147,,,6.28,2015-07-01,false,1-AU-88,Abberfield Aged Care Facility,,false,,2015-06-27,2015-01-01,550000,false,Residential Permanent,1977-09-26,false,
6,true,3 Years,true,true,true,30 Shaw Street ,Australia,-38.0792233,142.8108453,3272,VIC,MORTLAKE,Deb Rantall,admin@abbeyfieldmortlake.com.au,,+610355992796,+610355992901,,,,,,30 Shaw Street,,3272,VIC,MORTLAKE,Abbeyfield House Hostel,true,1-MAAJUC,,Abbeyfield House,6.28,2015-07-01,false,1-E6-804,Abbeyfield,,false,,2015-06-27,2015-01-01,550000,false,Residential Permanent,1990-03-07,true,
7,true,3 Years,true,true,true,222 Waldron Road ,Australia,-33.8819208,150.9967359,2162,NSW,CHESTER HILL,Marian Achten,marian@abeltasman.com,,+610296447002,+610296453388,www.abeltasman.com.au,,,,,222 Waldron Road,,2162,NSW,CHESTER HILL,Abel Tasman Village,true,1-EP-2022,,Not Supplied,6.28,2015-07-01,false,1-E6-263,Abel Tasman Village,,false,,2015-06-27,2015-01-01,550000,false,Residential Permanent,1993-10-01,true,http://www.abeltasman.com.au
8,true,3 Years,true,true,true,2 Mt View Road ,Australia,-32.8318061,151.3499421,2325,NSW,CESSNOCK,Louise Robertson,mail@nccca.com.au,,+610249901916,+610249933100,www.nccca.com.au,,"Abernethy Nursing Home is a high care residential care facility with a capacity of 52 residents.<br/><br/>The facility offers a variety of room types including 4 bed wards, 2 bed wards and single room with ensuite.<br/><br/>This facility also has the capability to a be 16 bed dementia/secure environment if required.",2015-12-02,,2 Mt View Road,,2325,NSW,CESSNOCK,Abernethy Nursing Home,true,1-EP-7305,,Not Supplied,6.28,2015-07-01,false,1-E6-663,Abernethy Nursing Home,,false,,2015-06-27,2015-01-01,550000,false,Residential Permanent,1994-01-04,true,www.nccca.com.au
9,true,3 Years,true,true,true,19 VICTORIA Street ,Australia,-33.8923872,151.1296026,2131,NSW,ASHFIELD,Service Manager,infosouth@uniting.org,,,+610297990439,https://www.uniting.org,,"Abrina is a modern Chinese-specific aged care residence located in Ashfield, offering comprehensive nursing care. The facility accommodates 63 residents in single or shared rooms, with 12 beds available specifically for residents in need of dementia care.",2015-12-02,,19 Victoria Street,,2131,NSW,ASHFIELD,Uniting Abrina Ashfield,true,1-EP-5353,"[Cantonese, Mandarin]",Abrina Nursing Home,6.28,2015-07-01,false,1-E6-406,Uniting Abrina Ashfield,,false,,2015-06-27,2015-01-01,550000,false,Residential Permanent,1973-01-01,false,https://www.uniting.org
10,true,3 Years,true,false,true,9 Batman Avenue ,Australia,-36.3638936,145.3916584,3630,VIC,SHEPPARTON,Helen Mathieson,admissions@sheppvillages.com.au,,+610358213998,+610358320800,http://ww.sheppvillages.com.au,,,,,9 Batman Avenue,,3630,VIC,SHEPPARTON,Acacia House Residential Aged Care Service,true,1-17R42Q,,Not Supplied,6.28,2015-07-01,false,1-E6-1094,Acacia House Residential Aged Care Service,Acacia House Nursing Home,true,,2015-06-27,2015-01-01,550000,false,Residential Permanent,2004-12-14,true,
11,true,3 Years,true,true,true,2 FIRST Avenue ,Australia,-33.8862363,150.9450357,2166,NSW,CANLEY VALE,William Zhu,acdmaagedhostel@hotmail.com,,+610297559559,+610297541343,,,,,,2 1st Avenue,,2166,NSW,CANLEY VALE,ACDMA Aged Hostel,true,1-EP-1233,"[Cantonese, Chin Haka (Dialect of Chin), Hainanese (Chinese), Hakka (Chinese), Hokkien (Chinese), Mandarin, Shanghainese, Teo Chiew (Chinese), Vietnamese]",,6.28,2015-07-01,false,1-E6-271,ACDMA Aged Hostel,,false,,2015-06-27,2015-01-01,550000,false,Residential Permanent,1996-11-28,true,
12,true,3 Years,true,true,true,93-95 Angus Avenue ,Australia,-32.85827,149.9794259,2848,NSW,KANDOS,Hiedi O'Neill,admin@adacottage.org.au,,,+610263794709,,,,,,93-95 Angus Avenue,,2848,NSW,KANDOS,Ada Cottage,true,1-EP-104,,,6.28,2015-07-01,true,1-E6-238,ADA Cottage,Ada's Cottage,false,,2015-06-27,2015-01-01,550000,false,Residential Permanent,1990-11-13,true,
13,true,3 Years,true,true,true,1 Birch Road ,Australia,-33.4109688,151.3641523,2250,NSW,WYOMING,Stephen Morrow,admin@adelene.com.au,,+610243236227,+610243253693,http://adelene.com.au,,"Adelene Hostel is a 30 bed Hostel that was opened in 1981. All Units have a bedroom, ensuite and a separate lounge room.<br/><br/>Adelene Hostel is a balance between not having to worry about things like cooking, cleaning and care while maintaining independence and choice.<br/><br/>Additional essential services such as a hairdresser, podiatrist and an optometrist visiting regularly. Other medical professional services and allied health arrangements can be provided if needed.<br/><br/>Adelene has maintained accreditation since the commencement of Accreditation Standard. A proud history that is recognised in the broader community.<br/><br/>Adelene is where we aim to deliver the best care we can for residents and families while never accepting we have reached the best thus always striving to improve.<br/><br/>Call and make an appointment to come in and have a look around. See our hostel and how we look after our residents and their friends and families.",,,1 Birch Road,,2250,NSW,WYOMING,Adelene Court Hostel,true,1-EP-4020,,Adelene Hostel,6.28,2015-07-01,false,1-E6-143,Adelene Court Hostel,,false,,2015-06-27,2015-01-01,550000,false,Residential Permanent,1989-01-11,false,http://www.adelene.com.au
14,true,3 Years,true,true,true,1 Birch Road ,Australia,-33.4109688,151.3641523,2250,NSW,WYOMING,Stephen Morrow,admin@adelene.com.au,,+610243236227,+610243253693,http://adelene.com.au,,"Our High Care facility is a 50 bed home with a reputation for excellent care from dedicated staff. A large majority of people seeking placement at Adelene have come with a recommendation from current and previous residents or from health professionals who have been involved with Adelene.<br/><br/>Adelene Nursing Home is a high care facility balancing the needs for care while maintaining a friendly home like atmosphere.<br/><br/>Adelene Nursing Home has a highly motivated team with an excellent program to provide the most up to date care with the best available facilities and equipment possible.Besides the excellent nursing care we also have Lifestyle and Activities staff, fresh cooked food from our onsite kitchen with additional essential services such as a hairdresser, podiatrist and an optometrist visiting regularly. Other medical professional services and allied health arrangements can be proved if needed.<br/><br/>Adelene has maintained accreditation since the commencem",,,1 Birch Road,,2250,NSW,WYOMING,Adelene Nursing Home,true,1-EP-3059,,Adelene Nursing Home,6.28,2015-07-01,false,1-E6-586,Adelene Nursing Home,,false,,2015-06-27,2015-01-01,550000,false,Residential Permanent,1980-05-20,false,www.adelene.com.au
15,true,3 Years,true,true,true,89 FREMANTLE Drive ,Australia,-35.3475271,149.0478237,2611,ACT,STIRLING,Iva Vujica,admin@adria.org.au,,,+610262880198,,Curently we cater for variety of food requirements and we are willing to continue as per residents needs.,"Adria Village is a Residential Facility, suited in the quiet area of Canberra. We welcome residents from diverse backgrounds.",,,89 FREMANTLE Drive,,2611,ACT,STIRLING,Adria Village Ltd,true,1-EP-4077,"[Bosnian, Croatian, English, German, Italian, Macedonian, Polish, Spanish]",,6.28,2015-07-01,false,1-E6-705,Adria Village Ltd,Croatian Village,false,,2015-06-27,2015-01-01,550000,false,Residential Permanent,1993-12-27,true,http://www.adria.org.au
