Service name,Physical Address Line 1,Physical Address Line 2,Physical Address Suburb,Physical Address State,Physical Address Post Code,2015 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Low Places,Home Care High Places,Transition Care Places,Provider Name,Organisation Type,ABS Remoteness,2014-15 Australian Government Funding
3Bridges Community Incorporated,1/72 Carwar Avenue,,CARSS PARK,NSW,2221,South East Sydney,Home Care Places,,35,10,,3Bridges Community Incorporated,Community Based,Major Cities of Australia,"$657,865"
501 Respite & Care Services,501 Pine Ridge Road,,BIGGERA WATERS,QLD,4216,South Coast,Residential,52,,,,Nightbreeze Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$2,964,280"
70 Lowe Street,70 Lowe Street,,ARARAT,VIC,3377,Grampians,Residential,45,,,,East Grampians Health Service,State Government,Inner Regional Australia,"$2,935,534"
A H Orr Lodge,27 Clissold Street,,ASHFIELD,NSW,2131,Inner West,Residential,60,,,,Ashfield Baptist Homes Ltd,Religious,Major Cities of Australia,"$2,365,056"
A M Ramsay Village,77 Seaview Road,,PORT AUGUSTA,SA,5700,Flinders & Far North,Residential,62,,,,Corporation of the City of Port Augusta,Local Government,Outer Regional Australia,"$2,587,108"
A. G. Eastwood Hostel,376 Warrigal Road,,CHELTENHAM,VIC,3192,Southern Metro,Residential,60,,,,Monash Health,State Government,Major Cities of Australia,"$2,151,399"
Abberfield Aged Care Facility,376-380 Bluff Road,,SANDRINGHAM,VIC,3191,Southern Metro,Residential,66,,,,Sandra Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$4,138,312"
Abbeyfield Hostel,5 MEMORIAL Drive,,WILLIAMSTOWN,SA,5351,"Yorke, Lower North & Barossa",Residential,23,,,,The Abbeyfield Society District of Barossa Inc,Community Based,Inner Regional Australia,"$1,169,446"
Abbeyfield House Hostel,30 Shaw Street,,MORTLAKE,VIC,3272,Barwon-South Western,Residential,40,,,,Abbeyfield Society (Mortlake) Inc,Community Based,Outer Regional Australia,"$1,589,394"
Abel Tasman Village,222 Waldron Road,,CHESTER HILL,NSW,2162,South West Sydney,Residential,91,,,,The Abel Tasman Village Association Ltd,Community Based,Major Cities of Australia,"$2,993,312"
Abel Tasman Village Community Care Packages,222 Waldron Road,,CHESTER HILL,NSW,2162,Western Sydney,Home Care Places,,58,,,The Abel Tasman Village Association Ltd,Community Based,Major Cities of Australia,"$789,596"
Abernethy Nursing Home,2 Mount View Road,,CESSNOCK,NSW,2325,Hunter,Residential,52,,,,Northern Coalfields Community Care Association Ltd,Community Based,Inner Regional Australia,"$3,482,084"
Aboriginal and Islander Community Resource Agency Rockhampton Aboriginal Corporation,6 East Street,,ROCKHAMPTON CITY,QLD,4700,Fitzroy,Home Care Places,,37,,,"Aboriginal & Islander Community Resource Agency, Rockhampton Aboriginal Corporation",Community Based,Inner Regional Australia,"$512,404"
Aboriginal Elders Village,2 Oldford Street,,DAVOREN PARK,SA,5113,Metropolitan North,National Aboriginal and Torres Strait Islander Aged Care Program,33,,,,Aboriginal Elders & Community Care Services Inc,Community Based,Major Cities of Australia,"$1,847,639"
Abrina Nursing Home,19 Victoria Street,,ASHFIELD,NSW,2131,Inner West,Residential,63,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,"$4,969,863"
Acacia House Residential Aged Care Service,9 Batman Avenue,,SHEPPARTON,VIC,3630,Hume,Residential,60,,,,Shepparton Retirement Villages Inc,Charitable,Inner Regional Australia,"$4,045,915"
ACC Services (Tas) Pty Ltd,179 Meander Valley Road,,TRAVELLERS REST,TAS,7250,North Western,Home Care Places,,,15,,ACC Services (TAS) Pty Ltd,Private Incorporated Body,Inner Regional Australia,"$621,007"
ACC Services (TAS) PTY LTD - North West CACP service,179 Meander Valley Road,,TRAVELLERS REST,TAS,7250,North Western,Home Care Places,,4,,,ACC Services (TAS) Pty Ltd,Private Incorporated Body,Inner Regional Australia,"$52,880"
AccessCare Southern,34 Brindisi Street,,MENTONE,VIC,3194,Southern Metro,Home Care Places,,150,,,Kingston City Council,Local Government,Major Cities of Australia,"$1,657,919"
AccessCare Southern,34 Brindisi Street,,MENTONE,VIC,3194,Southern Metro,Home Care Places,,,40,,Kingston City Council,Local Government,Major Cities of Australia,"$734,407"
ACDMA Aged Hostel,2 First Avenue,,CANLEY VALE,NSW,2166,South West Sydney,Residential,45,,,,Australian Chinese & Descendants Mutual Association Inc,Community Based,Major Cities of Australia,"$2,277,471"
ACH Group Hills Mallee Southern,Main Road,,YANKALILLA,SA,5203,"Hills, Mallee & Southern",Home Care Places,,38,3,,Aged Care & Housing Group Inc,Charitable,Inner Regional Australia,"$541,018"
ACH Group Home Care Metro East,163 Montacute Road,,NEWTON,SA,5074,Metropolitan East,Home Care Places,,130,9,,Aged Care & Housing Group Inc,Charitable,Major Cities of Australia,"$1,484,676"
ACH Group Home Care Metro East VIC,16 Bedford Street,,BOX HILL,VIC,3128,Eastern Metro,Home Care Places,,45,44,,Aged Care & Housing Group Inc,Charitable,Major Cities of Australia,"$163,987"
ACH Group Home Care Metro North,25 Fenden Road,,SALISBURY PLAIN,SA,5109,Metropolitan North,Home Care Places,,74,14,,Aged Care & Housing Group Inc,Charitable,Major Cities of Australia,"$939,442"
ACH Group Home Care Metro North VIC,16 Bedford Street,,BOX HILL,VIC,3128,Northern Metro,Home Care Places,,22,13,,Aged Care & Housing Group Inc,Charitable,Major Cities of Australia,"$5,699"
ACH Group Home Care Metro South,17 Elizabeth Road,,CHRISTIE DOWNS,SA,5164,Metropolitan South,Home Care Places,,140,15,,Aged Care & Housing Group Inc,Charitable,Major Cities of Australia,"$1,748,218"
ACH Group Home Care Metro South VIC,16 Bedford Street,,BOX HILL,VIC,3128,Southern Metro,Home Care Places,,10,20,,Aged Care & Housing Group Inc,Charitable,Major Cities of Australia,"$12,954"
ACH Group Home Care Metro West,22 Gordon Street,,GLENELG,SA,5045,Metropolitan West,Home Care Places,,18,12,,Aged Care & Housing Group Inc,Charitable,Major Cities of Australia,"$350,124"
ACH Group Home Care Riverland,1 McHenry Street,,MURRAY BRIDGE,SA,5253,Riverland,Home Care Places,,18,17,,Aged Care & Housing Group Inc,Charitable,Inner Regional Australia,"$217,337"
ACH Group In Home Care,22 Henley Beach Road,,MILE END,SA,5031,Metropolitan West,Home Care Places,,,20,,Aged Care & Housing Group Inc,Charitable,Major Cities of Australia,"$987,989"
ACH Group In-Home Care East,163 Montacute Road,,NEWTON,SA,5074,Metropolitan East,Home Care Places,,,14,,Aged Care & Housing Group Inc,Charitable,Major Cities of Australia,"$680,060"
ACH Group In-Home Care South,22 Gordon Street,,GLENELG,SA,5045,Metropolitan South,Home Care Places,,,10,,Aged Care & Housing Group Inc,Charitable,Major Cities of Australia,"$474,248"
ACT Transition Care Program,"Level 2, 11 Moore Street",,CITY,ACT,2601,ACT,Transition Care,,,,58,ACT Health,Territory Government,Major Cities of Australia,"$3,361,974"
Ada Caring Connections CACPs,93-95 Angus Avenue,,KANDOS,NSW,2848,Orana Far West,Home Care Places,,12,,,Rylstone Kandos Aged and Disabled Association Inc,Community Based,Inner Regional Australia,"$149,201"
Ada Cottage,93-95 Angus Avenue,,KANDOS,NSW,2848,Orana Far West,Residential,19,,,,Rylstone Kandos Aged and Disabled Association Inc,Community Based,Inner Regional Australia,"$950,479"
Adelaide Hills Community Aged Care Packages,59 WELLINGTON Road,,MOUNT BARKER,SA,5251,"Hills, Mallee & Southern",Home Care Places,,63,,,Country Health SA Local Health Network Incorporated,State Government,Inner Regional Australia,"$781,174"
Adelaide Senior Citizens Village Inc - EACHP,186 Glynburn Road,,TRANMERE,SA,5073,Metropolitan North,Home Care Places,,,10,,Italian Benevolent Foundation SA Inc,Community Based,Major Cities of Australia,"$423,699"
Adelene Court Hostel,1 Birch Road,,WYOMING,NSW,2250,Central Coast,Residential,35,,,,Adelene Retirement Village,Charitable,Major Cities of Australia,"$1,308,639"
Adelene Nursing Home,1 Birch Road,,WYOMING,NSW,2250,Central Coast,Residential,50,,,,Adelene Retirement Village,Charitable,Major Cities of Australia,"$2,891,724"
Adria Village Ltd,89 FREMANTLE Drive,,STIRLING,ACT,2611,ACT,Residential,42,,,,Adria Village Ltd,Community Based,Major Cities of Australia,"$2,164,514"
