,Extra service,Maximum Room Occupancy,Number of Rooms of Type,Room Name,Room Size,exampleDAPDollar,exampleDAPPercentage,exampleRADDollar,exampleRADPercentage,extraServiceFeesAmount,home,iD,maximumDAP,maximumRAD,rADExceedsThresholdApproved,serviceID,serviceSubType,suburb
0,N,1,20,Room Type A,Average size 14.5m2,43.02,50.0,250000.0,50.0,,501 Respite & Care Services,1-E6-2072,86.03,500000.0,No,1-EP-49,Single room + ensuite,BIGGERA WATERS
1,N,1,6,Room Type B,Average size 12.6 m2,43.02,50.0,250000.0,50.0,,501 Respite & Care Services,1-E6-2072,86.03,500000.0,No,1-EP-49,Single room + ensuite,BIGGERA WATERS
2,N,1,8,Room Type C,average size 11.88m2,43.02,50.0,250000.0,50.0,,501 Respite & Care Services,1-E6-2072,86.03,500000.0,No,1-EP-49,Single room + shared bathroom,BIGGERA WATERS
3,N,2,14,Room Type D,Average size of 20.2m2,43.02,50.0,250000.0,50.0,,501 Respite & Care Services,1-E6-2072,86.03,500000.0,No,1-EP-49,Shared room + shared bathroom,BIGGERA WATERS
4,N,1,0,Lowe Street Single 1,3.90 square metres,25.81,50.0,150000.0,50.0,,70 Lowe Street,1-E6-962,51.62,300000.0,Pending Approval,1-EP-393,Single room + ensuite,ARARAT
5,N,1,0,Lowe Street Single 2,3.62 square metres,25.81,50.0,150000.0,50.0,,70 Lowe Street,1-E6-962,51.62,300000.0,Pending Approval,1-EP-393,Single room + shared bathroom,ARARAT
6,N,2,0,Lowe Street Shared,6.72 square metres,25.81,50.0,150000.0,50.0,,70 Lowe Street,1-E6-962,51.62,300000.0,Pending Approval,1-EP-393,Shared room + ensuite,ARARAT
7,N,2,0,Lowe Street Shared,6.72 square metres,25.81,50.0,150000.0,50.0,,A H Orr Lodge,1-E6-10,51.62,300000.0,Pending Approval,1-EP-1025,Shared room + ensuite,ASHFIELD
8,N,1,10,Jaycee Wing,14.57m2,23.23,50.0,135000.0,50.0,0.0,A M Ramsay Village,1-E6-1545,46.45,270000.0,,1-1W8T68,Single room + ensuite,PORT AUGUSTA
9,N,1,10,Apex Wing,14.88m2,23.23,50.0,135000.0,50.0,0.0,A M Ramsay Village,1-E6-1545,46.45,270000.0,,1-1W8T68,Single room + ensuite,PORT AUGUSTA
10,N,1,4,McGhee Wing,12.92m2,22.37,50.0,130000.0,50.0,0.0,A M Ramsay Village,1-E6-1545,44.73,260000.0,,1-1W8T68,Single room + ensuite,PORT AUGUSTA
11,N,1,14,Rotary wing,14.88m2,24.09,50.0,140000.0,50.0,0.0,A M Ramsay Village,1-E6-1545,48.18,280000.0,,1-1W8T68,Single room + ensuite,PORT AUGUSTA
12,N,1,14,Lions wing,14.88m2,24.09,50.0,140000.0,50.0,0.0,A M Ramsay Village,1-E6-1545,48.18,280000.0,,1-1W8T68,Single room + ensuite,PORT AUGUSTA
13,N,1,10,Masonic Wing,14.88m2,23.23,50.0,135000.0,50.0,0.0,A M Ramsay Village,1-E6-1545,46.45,270000.0,,1-1W8T68,Single room + ensuite,PORT AUGUSTA
14,N,1,10,Masonic Wing,14.88m2,23.23,50.0,135000.0,50.0,0.0,A. G. Eastwood Hostel,1-AU-58,46.45,270000.0,,1-B5-29,Single room + ensuite,CHELTENHAM
15,N,1,0,Standard Room,Size of rooms vary from 11m2 to 17m2,47.32,50.0,275000.0,50.0,,Abberfield Aged Care Facility,1-AU-88,94.63,550000.0,Pending Approval,1-B5-147,Single room + ensuite,SANDRINGHAM
