Area,State,Type of place ,Places made,Applications received,Places sought
New South Wales ,,,,,
All regions ,NSW,Residential aged care places ,315,,
Central Coast ,NSW,Residential aged care places ,100,5,441
Central Coast ,NSW,Home care places ,144,42,"3,026"
Central West ,NSW,Residential aged care places ,50,6,222
Central West ,NSW,Home care places ,73,19,973
Far North Coast ,NSW,Residential aged care places ,100,5,170
Far North Coast ,NSW,Home care places ,83,30,"1,765"
Hunter ,NSW,Residential aged care places ,150,9,290
Hunter ,NSW,Home care places ,199,58,"4,843"
Illawarra ,NSW,Residential aged care places ,100,2,37
Illawarra ,NSW,Home care places ,125,39,"2,505"
Inner West ,NSW,Residential aged care places ,0,3,59
Inner West ,NSW,Home care places ,135,40,"2,664"
Mid North Coast ,NSW,Residential aged care places ,120,5,147
Mid North Coast ,NSW,Home care places ,138,46,"3,283"
Nepean ,NSW,Residential aged care places ,200,5,381
Nepean ,NSW,Home care places ,107,27,"1,576"
New England ,NSW,Residential aged care places ,60,2,44
New England ,NSW,Home care places ,145,17,"1,496"
Northern Sydney ,NSW,Residential aged care places ,0,13,655
Northern Sydney ,NSW,Home care places ,255,49,"3,763"
Orana Far West ,NSW,Residential aged care places ,100,4,51
Orana Far West ,NSW,Home care places ,130,18,"1,018"
Riverina Murray ,NSW,Residential aged care places ,75,7,91
Riverina Murray ,NSW,Home care places ,72,27,"1,086"
South East Sydney ,NSW,Residential aged care places ,50,13,346
South East Sydney ,NSW,Home care places ,252,65,"4,864"
South West Sydney ,NSW,Residential aged care places ,450,11,900
South West Sydney ,NSW,Home care places ,202,62,"4,946"
Southern Highlands ,NSW,Residential aged care places ,100,2,25
Southern Highlands ,NSW,Home care places ,104,34,"1,549"
Western Sydney ,NSW,Residential aged care places ,450,20,"1,773"
Western Sydney ,NSW,Home care places ,214,53,"4,035"
Victoria ,,,,,
All regions ,VIC,Residential aged care places ,141,,
Barwon-South Western ,VIC,Residential aged care places ,60,9,517
Barwon-South Western ,VIC,Home care places ,94,41,"2,076"
Eastern Metropolitan ,VIC,Residential aged care places ,400,22,"1,047"
Eastern Metropolitan ,VIC,Home care places ,405,58,"5,453"
Gippsland ,VIC,Residential aged care places ,250,2,140
Gippsland ,VIC,Home care places ,90,23,977
Grampians ,VIC,Residential aged care places ,160,5,232
Grampians ,VIC,Home care places ,51,28,969
Hume ,VIC,Residential aged care places ,180,10,214
Hume ,VIC,Home care places ,87,30,"1,229"
Loddon-Mallee ,VIC,Residential aged care places ,180,7,285
Loddon-Mallee ,VIC,Home care places ,93,34,"1,621"
Northern Metropolitan ,VIC,Residential aged care places ,500,15,"1,314"
Northern Metropolitan ,VIC,Home care places ,337,60,"4,482"
Southern Metropolitan ,VIC,Residential aged care places ,400,34,"2,033"
Southern Metropolitan ,VIC,Home care places ,403,76,"6,625"
Western Metropolitan ,VIC,Residential aged care places ,400,13,513
Western Metropolitan ,VIC,Home care places ,208,58,"3,977"
Queensland ,,,,,
All regions ,QLD,Residential aged care places ,125,,
Brisbane North ,QLD,Residential aged care places ,150,10,695
Brisbane North ,QLD,Home care places ,150,57,"4,008"
Brisbane South ,QLD,Residential aged care places ,0,5,247
Brisbane South ,QLD,Home care places ,150,51,"3,480"
Cabool ,QLD,Residential aged care places ,300,8,333
Cabool ,QLD,Home care places ,200,46,"3,430"
Central West ,QLD,Residential aged care places ,0,1,14
Central West ,QLD,Home care places ,0,0,0
Darling Downs ,QLD,Residential aged care places ,300,6,393
Darling Downs ,QLD,Home care places ,90,20,"1,099"
Far North ,QLD,Residential aged care places ,300,6,201
Far North ,QLD,Home care places ,0,9,551
Fitzroy ,QLD,Residential aged care places ,150,1,36
Fitzroy ,QLD,Home care places ,70,18,967
Logan River Valley ,QLD,Residential aged care places ,200,2,216
Logan River Valley ,QLD,Home care places ,0,14,459
Mackay ,QLD,Residential aged care places ,100,0,0
Mackay ,QLD,Home care places ,60,12,633
Northern ,QLD,Residential aged care places ,100,3,210
Northern ,QLD,Home care places ,100,20,"1,006"
North West ,QLD,Residential aged care places ,0,1,10
North West ,QLD,Home care places ,0,2,20
South Coast ,QLD,Residential aged care places ,250,9,619
South Coast ,QLD,Home care places ,0,9,384
South West,QLD,Residential aged care places,0,0,0
South West,QLD,Home care places,0,3,60
Sunshine Coast,QLD,Residential aged care places,200,10,618
Sunshine Coast,QLD,Home care places,83,30,"1,577"
West Moreton,QLD,Residential aged care places,250,4,213
West Moreton,QLD,Home care places,0,7,258
Wide Bay,QLD,Residential aged care places,200,4,171
Wide Bay,QLD,Home care places,110,28,"1,582"
Western Australia,,,,,
Goldfields,WA,Residential aged care places,150a,0,0
Goldfields,WA,Home care places,162เต,2,85
Great Southern,WA,Residential aged care places,150a,3,171
Great Southern,WA,Home care places,162เต,3,60
Indian Ocean Territories,WA,Residential aged care places,0,0,0
Indian Ocean Territories,WA,Home care places,0,0,0
Kimberley,WA,Residential aged care places,150a,2,70
Kimberley,WA,Home care places,162เต,3,109
Metropolitan East,WA,Residential aged care places,200เต,4,201
Metropolitan East,WA,Home care places,510เ_์,32,"1,425"
Metropolitan North,WA,Residential aged care places,200,3,379
Metropolitan North,WA,Home care places,510เ_์,38,"1,916"
Metropolitan South East,WA,Residential aged care places,200เต,8,437
Metropolitan South East,WA,Home care places,510เ_์,34,"1,443"
Metropolitan South West,WA,Residential aged care places,308,5,355
Metropolitan South West,WA,Home care places,510เ_์,37,"1,742"
Mid West,WA,Residential aged care places,150a,0,0
Mid West,WA,Home care places,162เต,4,100
Pilbara,WA,Residential aged care places,150a,1,3
Pilbara,WA,Home care places,162เต,0,0
South West,WA,Residential aged care places,200,3,36
South West,WA,Home care places,162เต,12,519
Wheatbelt,WA,Residential aged care places,150a,1,1
Wheatbelt,WA,Home care places,162เต,8,241
South Australia,,,,,
Eyre Peninsula,SA,Residential aged care places,212d,1,4
Eyre Peninsula,SA,Home care places,25,4,93
"Hills, Mallee & Southern",SA,Residential aged care places,212d,1,38
"Hills, Mallee & Southern",SA,Home care places,36,12,302
Metropolitan East,SA,Residential aged care places,0,2,89
Metropolitan East,SA,Home care places,60,28,972
Metropolitan North,SA,Residential aged care places,212d,6,242
Metropolitan North,SA,Home care places,70,33,"1,166"
Metropolitan South,SA,Residential aged care places,212d,4,197
Metropolitan South,SA,Home care places,72,29,"1,145"
Metropolitan West,SA,Residential aged care places,212d,7,133
Metropolitan West,SA,Home care places,69,30,"1,063"
Mid North,SA,Residential aged care places,212d,5,26
Mid North,SA,Home care places,40,5,152
Riverland,SA,Residential aged care places,212d,1,20
Riverland,SA,Home care places,35,6,192
South East,SA,Residential aged care places,212d,3,37
South East,SA,Home care places,40,5,185
"Whyalla, Flinders & Far North",SA,Residential aged care places,212d,0,0
"Whyalla, Flinders & Far North",SA,Home care places,30,5,120
"Yorke, Lower North & Barossa",SA,Residential aged care places,212d,6,180
"Yorke, Lower North & Barossa",SA,Home care places,73,13,485
Tasmania,,,,,
Northern,TAS,Residential aged care places,67f,2,57
Northern,TAS,Home care places,57,25,"1,043"
North Western,TAS,Residential aged care places,67f,5,48
North Western,TAS,Home care places,18,20,318
Southern,TAS,Residential aged care places,67f,5,86
Southern,TAS,Home care places,104,34,"1,981"
Australian Capital Territory,,,,,
ACT,ACT,Residential aged care places,223,5,441
ACT,ACT,Home care places,68,20,934
Northern Territory,,,,,
Alice Springs,NT,Residential aged care places,54g,1,15
Alice Springs,NT,Home care places,13g,7,51
Barkly,NT,Residential aged care places,54g,0,0
Barkly,NT,Home care places,13g,5,25
Darwin,NT,Residential aged care places,54g,0,0
Darwin,NT,Home care places,12,5,73
East Arnhem,NT,Residential aged care places,54g,0,0
East Arnhem,NT,Home care places,13g,1,13
Katherine,NT,Residential aged care places,54g,0,0
