,waitlistFlag,sanctionFlag,contactDetails_address_geoLocationDetails_latitude,contactDetails_address_geoLocationDetails_longitude,Room Size,home,maximumRAD,maximumDAP
0,True,False,-27.9222037,153.384513,Average size 14.5m2,501 Respite & Care Services,500000.0,86.03
1,True,False,-27.9222037,153.384513,Average size 12.6 m2,501 Respite & Care Services,500000.0,86.03
4,True,False,-37.2779691,142.9329944,3.90 square metres,70 Lowe Street,300000.0,51.62
8,True,False,-32.4996651,137.7811176,14.57m2,A M Ramsay Village,270000.0,46.45
9,True,False,-32.4996651,137.7811176,14.88m2,A M Ramsay Village,270000.0,46.45
10,True,False,-32.4996651,137.7811176,12.92m2,A M Ramsay Village,260000.0,44.73
11,True,False,-32.4996651,137.7811176,14.88m2,A M Ramsay Village,280000.0,48.18
12,True,False,-32.4996651,137.7811176,14.88m2,A M Ramsay Village,280000.0,48.18
13,True,False,-32.4996651,137.7811176,14.88m2,A M Ramsay Village,270000.0,46.45
14,False,False,-37.95856,145.0761367,14.88m2,A. G. Eastwood Hostel,270000.0,46.45
15,False,False,-37.9480938,145.0220683,Size of rooms vary from 11m2 to 17m2,Abberfield Aged Care Facility,550000.0,94.63
17,True,False,-38.0792233,142.8108453,20,Abbeyfield House Hostel,300000.0,51.62
18,True,False,-38.0792233,142.8108453,20,Abbeyfield House Hostel,300000.0,51.62
19,True,False,-38.0792233,142.8108453,20,Abbeyfield House Hostel,300000.0,51.62
20,True,False,-38.0792233,142.8108453,20,Abbeyfield House Hostel,300000.0,51.62
21,True,False,-38.0792233,142.8108453,20,Abbeyfield House Hostel,300000.0,51.62
22,True,False,-33.8819208,150.9967359,24,Abel Tasman Village,350000.0,60.22
23,True,False,-33.8819208,150.9967359,30,Abel Tasman Village,420000.0,72.26
24,True,False,-33.8819208,150.9967359,24,Abel Tasman Village,400000.0,68.82
25,True,False,-33.8819208,150.9967359,58,Abel Tasman Village,450000.0,77.42
27,True,False,-33.8819208,150.9967359,55,Abel Tasman Village,450000.0,77.42
29,True,False,-33.8819208,150.9967359,27.5,Abel Tasman Village,400000.0,68.82
30,True,False,-32.8318061,151.3499421,Ranging from 15.27m2 to 20.13m2,Abernethy Nursing Home,395000.0,67.96
31,True,False,-32.8318061,151.3499421,One single room 11.80m2,Abernethy Nursing Home,310000.0,53.34
38,True,False,-36.3638936,145.3916584,16.28,Acacia House Residential Aged Care Service,350000.0,60.22
48,True,False,-34.0243645,151.0094527,18.5m2,Advantaged Care at Barden Lodge,550000.0,94.63
49,True,False,-34.0243645,151.0094527,18.5m2,Advantaged Care at Barden Lodge,650000.0,111.84
50,True,False,-34.0243645,151.0094527,18.5m2,Advantaged Care at Barden Lodge,775000.0,133.34
51,True,False,-34.0243645,151.0094527,18.5m2,Advantaged Care at Barden Lodge,505000.0,86.89
52,True,False,-33.9113046,150.9933056,18.5 m2,Advantaged Care at Georges Manor,550000.0,94.63
53,True,False,-33.9113046,150.9933056,18.5 m2,Advantaged Care at Georges Manor,550000.0,94.63
